female,married,spouse_rated,age,X_factor_bi,X_factor_pd,X_factor_comp,X_factor_coll,X_factor_loan,X_factor_med,X_factor_pip,X_factor_umbi,X_factor_umpd,X_factor_rent,X_factor_roadside,duplicate
0,0,0,18,4.43,4.1,1.3,3.41,1.3,2.39,1.64,1.76,3.41,3.41,3.41,0
0,0,1,18,4.43,4.1,1.3,3.41,1.3,2.39,1.64,1.76,3.41,3.41,3.41,0
0,0,0,19,3.84,3.52,1.3,3.25,1.3,2.24,1.49,1.57,3.25,3.25,3.25,0
0,0,1,19,3.84,3.52,1.3,3.25,1.3,2.24,1.49,1.57,3.25,3.25,3.25,0
0,0,0,20,3.11,2.93,1.3,2.9,1.3,1.76,1.44,1.25,2.9,2.9,2.9,0
0,0,1,20,3.11,2.93,1.3,2.9,1.3,1.76,1.44,1.25,2.9,2.9,2.9,0
0,0,0,21,2.52,2.42,1.3,2.68,1.3,1.41,1.37,1.21,2.68,2.68,2.68,0
0,0,1,21,2.52,2.42,1.3,2.68,1.3,1.41,1.37,1.21,2.68,2.68,2.68,0
0,0,0,22,2.1,2.07,1.28,2.26,1.28,1.33,1.23,1.17,2.26,2.26,2.26,0
0,0,1,22,2.1,2.07,1.28,2.26,1.28,1.33,1.23,1.17,2.26,2.26,2.26,0
0,0,0,23,1.91,1.83,1.26,2.03,1.26,1.26,1.09,0.84,2.03,2.03,2.03,0
0,0,1,23,1.91,1.83,1.26,2.03,1.26,1.26,1.09,0.84,2.03,2.03,2.03,0
0,0,0,24,1.64,1.57,1.17,1.76,1.17,1.09,1.03,0.79,1.76,1.76,1.76,0
0,0,1,24,1.64,1.57,1.17,1.76,1.17,1.09,1.03,0.79,1.76,1.76,1.76,0
0,0,0,25,1.36,1.32,1.14,1.43,1.14,0.89,0.87,0.8,1.43,1.43,1.43,0
0,0,1,25,1.36,1.32,1.14,1.43,1.14,0.89,0.87,0.8,1.43,1.43,1.43,0
0,0,0,30,1.2,1.13,1.14,1.23,1.14,0.95,0.87,0.83,1.23,1.23,1.23,0
0,0,1,30,1.2,1.13,1.14,1.23,1.14,0.95,0.87,0.83,1.23,1.23,1.23,0
0,0,0,35,1.18,1.05,1.06,1.18,1.06,0.96,0.95,1.1,1.18,1.18,1.18,0
0,0,1,35,1.18,1.05,1.06,1.18,1.06,0.96,0.95,1.1,1.18,1.18,1.18,0
0,0,0,40,1.16,1.03,1,1.05,1,1.06,0.98,1.12,1.05,1.05,1.05,0
0,0,1,40,1.16,1.03,1,1.05,1,1.06,0.98,1.12,1.05,1.05,1.05,0
0,0,0,50,1.12,1,0.87,0.95,0.87,0.99,0.94,1.11,0.95,0.95,0.95,0
0,0,1,50,1.12,1,0.87,0.95,0.87,0.99,0.94,1.11,0.95,0.95,0.95,0
